GBM_withLACA
median	557.5
min	310
max	1970
num_samples_for_ESS	1860
tail-ESS_med	625
tail-ESS_min	231
tail-ESS_max	1011
bulk-ESS_med	394
bulk-ESS_min	156
bulk-ESS_max	1073
minRhat	0.997390322807897
maxRhat	1.03300716667094
total_samples	5654
