Mean_time	Mean_qlow	Mean_qup	Priors
t_n851	3588.032	2318.46	4375.82	0
t_n852	3247.668	1938.22	4312.3	0
t_n853	2878.607	1644.74	4192.96	0
t_n854	2503.366	1356.23	3974.9	0
t_n855	2181.081	1145.71	3581.54	0
t_n856	1918.89	998.76	3231.73	0
t_n857	1691.114	818.89	2852.69	0
t_n858	1298.793	372.31	2265.38	0
t_n859	906.198	130.58	1917.95	0
t_n860	470.602	12.72	1559.83	0
t_n861	1422.535	543.5	2374.02	0
t_n862	1107.696	272.99	2047.42	0
t_n863	584.758	19.18	1678.95	0
t_n864	585.781	20.81	1678.71	0
t_n865	760.274	28.44	1884.31	0
t_n866	983.879	43.71	2218.93	0
t_n867	1158.175	51.3	2781.81	0
t_n868	1879.679	587.35	3508.96	0
t_n869	936.111	38.53	2287.94	0
t_n870	933.42	36.62	2289.53	0
t_n871	2050.286	635.46	3853.19	0
t_n872	1306.749	205.59	2836.78	0
t_n873	683.973	20.96	1929.61	0
t_n874	2640.185	1188.73	4178.76	0
t_n875	1891.671	671.4	3570.99	0
t_n876	946.523	37.94	2321.7	0
t_n877	1246.163	202.85	2569.72	0
t_n878	650.99	18.6	1864.75	0
t_n879	1184.87	53.67	3023.03	0
t_n880	2799.315	1129.34	4298.52	0
t_n881	1983.878	659.9	3880.81	0
t_n882	1426.781	339.4	2979.19	0
t_n883	742.802	26.01	1987.81	0
t_n884	743.142	24.66	1989.28	0
t_n885	3839.456	2864.48	4422.01	0
t_n886	3456.851	2051.94	4364.07	0
t_n887	2832.736	1459.66	4222.6	0
t_n888	2328.948	1138.22	3933.66	0
t_n889	1912.435	880.84	3396.64	0
t_n890	1559.851	584.41	2850.03	0
t_n891	819.831	34.45	2001.93	0
t_n892	1196.092	298.27	2213.88	0
t_n893	833.857	108.34	1893.3	0
t_n894	431.218	10.7	1514.82	0
t_n895	965.077	40.54	2241.52	0
t_n896	1102.954	47.53	2677.94	0
t_n897	2725.328	1327.83	4202.96	0
t_n898	2167.907	1011.59	3825.15	0
t_n899	1545.752	433.89	3018.07	0
t_n900	802.554	29.13	2035.64	0
t_n901	807.192	30.69	2031.31	0
t_n902	1547.502	443.04	3021.54	0
t_n903	1058.522	156.67	2199.55	0
t_n904	555.188	15.87	1721.42	0
t_n905	3457.323	2060.59	4368.91	0
t_n906	3028.894	1695.14	4271.51	0
t_n907	2576.84	1343.8	4066.73	0
t_n908	1875.237	717.79	3448.7	0
t_n909	1381.236	349.56	2685.6	0
t_n910	952.705	132.91	2057.54	0
t_n911	498.368	13.38	1645.49	0
t_n912	2073.519	1011.6	3610.16	0
t_n913	1709.233	727.47	3054.52	0
t_n914	1374.253	435.82	2435.63	0
t_n915	1068.017	236.35	2066.64	0
t_n916	562.684	18.51	1668.14	0
t_n917	560.966	19.18	1676.34	0
t_n918	892.237	37.21	2099.85	0
t_n919	1956.665	609.89	3735	0
t_n920	960.349	38.45	2379.1	0
t_n921	959.113	37.73	2361.69	0
t_n922	1887.3	353.71	3920.96	0
t_n923	911.422	28.6	2475.52	0
t_n924	3805.169	2611.78	4425.85	0
t_n925	3360.368	1911.77	4359.05	0
t_n926	2802.977	1445.03	4223.97	0
t_n927	2160.23	993.86	3803.99	0
t_n928	1711.906	649.75	3172.28	0
t_n929	1366.836	399.49	2523.72	0
t_n930	1057.939	227.8	2077.24	0
t_n931	554.019	18.4	1666.91	0
t_n932	554.823	18.59	1659.39	0
t_n933	1983.407	751.69	3663.84	0
t_n934	1290.43	218.26	2689.28	0
t_n935	674.346	19.4	1896.38	0
t_n936	986.45	41.56	2377.63	0
t_n937	2276.039	861.92	4047.95	0
t_n938	1414.998	246.7	3086.83	0
t_n939	732.701	23.52	2014.21	0
t_n940	1078.943	44.87	2787	0
t_n941	3084.445	1551.08	4321.13	0
t_n942	2413.986	1098.45	4081.26	0
t_n943	1857.123	716.69	3486.06	0
t_n944	937.714	37.09	2238.52	0
t_n945	1372.592	353.89	2688.9	0
t_n946	946.248	131.23	2043.94	0
t_n947	494.377	13.32	1637.08	0
t_n948	1119.664	48.18	2784.84	0
t_n949	1304.899	56.1	3396.43	0
t_n950	4028.539	3396.78	4461.31	0
t_n951	3675.887	2417.71	4405.21	0
t_n952_TG-ARCH-EUKARYA	2529.873	1675.86	3397.94	B(1.6191,3.448,1e-300,1e-300)
t_n953	1144.415	48.88	2647.63	0
t_n954	1688.178	548.76	2975.68	0
t_n955	1145.85	178.65	2265.83	0
t_n956	602.3	17	1761.91	0
t_n957	3129.373	1717.67	4314.54	0
t_n958	2571.222	1286.05	4102.79	0
t_n959	1864.899	704.48	3432.63	0
t_n960	943.541	39.31	2265.18	0
t_n961	1235.26	213.63	2509.93	0
t_n962	646.202	19.55	1841.77	0
t_n963	1953.223	841.96	3525.71	0
t_n964	1517.813	491.14	2830.98	0
t_n965	798.659	29.94	1991.93	0
t_n966	1044.651	165.7	2141.26	0
t_n967	549.931	15.44	1697.35	0
t_n968	1767.937	352.35	3694.63	0
t_n969	876.866	31.3	2280.38	0
t_n970	3951.093	3266.04	4441.37	0
t_n971	3824.173	2890.42	4415.71	0
t_n972	3662.645	2466.69	4386.92	0
t_n973	3444.124	2165.92	4345.58	0
t_n974	3195.117	1946.64	4287.21	0
t_n975	2862.868	1686.57	4165.71	0
t_n976	2444.564	1316.01	3888.84	0
t_n977	2092.125	1094.51	3457.56	0
t_n978	1723.252	777.73	2999.85	0
t_n979	1311.44	362.71	2323.54	0
t_n980	913.473	127.93	1948.38	0
t_n981	476.645	12.59	1580.53	0
t_n982	1179.65	216.17	2221	0
t_n983	625	18.98	1781.01	0
t_n984	1522.415	466.04	2784.58	0
t_n985	1050.456	160.05	2138.01	0
t_n986	550.787	15.31	1696.93	0
t_n987	1141.255	51.26	2724.04	0
t_n988	2255.406	1118.36	3756.94	0
t_n989	1824.142	805.2	3202.78	0
t_n990	937.422	39.78	2179.24	0
t_n991	1448.453	471.75	2595.61	0
t_n992	1006.612	157.66	2052.71	0
t_n993	525.647	15.12	1657.02	0
t_n994	762.262	30.32	1914.93	0
t_n995	2582.753	1332.31	4050.37	0
t_n996	1558.021	300.56	3170.63	0
t_n997	801.432	27.64	2097.6	0
t_n998	2022.183	938.76	3513.21	0
t_n999	1320.299	250.61	2628.98	0
t_n1000	691.867	21.74	1904.96	0
t_n1001	1472.992	417.21	2776.85	0
t_n1002	774.872	30.06	1967.4	0
t_n1003	773.776	28.27	1961.2	0
t_n1004	2325.81	890.35	4039.14	0
t_n1005	1093.996	43.07	2778.1	0
t_n1006	1432.961	249.11	3083.39	0
t_n1007	739.617	23.2	2020.44	0
t_n1008	2871.598	1402.43	4247.64	0
t_n1009	2122.871	893.34	3831.34	0
t_n1010	1610.741	520.14	3089.23	0
t_n1011	1217.507	271.34	2329.82	0
t_n1012	639.157	21.95	1809.76	0
t_n1013	640.751	20.45	1810.29	0
t_n1014	1657.349	314.06	3482.11	0
t_n1015	831.949	26.62	2187.07	0
t_n1016	2713.924	1124.2	4252.73	0
t_n1017	1932.816	662.33	3756.46	0
t_n1018	1402.99	329.94	2927.81	0
t_n1019	957.381	125.32	2102.13	0
t_n1020	502.575	13.58	1644.17	0
t_n1021	3682.857	2467.15	4398.82	0
t_n1022	3015.404	1562.35	4284.17	0
t_n1023	2409.216	1152.96	4026.8	0
t_n1024	1775.604	644.52	3341.18	0
t_n1025	1324.311	322.4	2562.3	0
t_n1026	696.171	23.93	1877.13	0
t_n1027	698.122	24.52	1874.14	0
t_n1028	1668.174	501.73	3257.97	0
t_n1029	859.064	32.92	2127.99	0
t_n1030	858.143	33.64	2117.29	0
t_n1031	1285.165	54.98	3289.08	0
t_n1032	3193.132	1934.02	4300.42	0
t_n1033	2171.343	844.58	3899.8	0
t_n1034	1530.754	402.94	3083.66	0
t_n1035	1041.165	141.91	2199.13	0
t_n1036	544.4	14.51	1711.83	0
t_n1037	2577.861	1489.38	3990.97	0
t_n1038_GOE	1863.436	941.53	2377.3	U(2.315)
t_n1039	1689.263	821.4	2291.4	0
t_n1040	1559.649	701.57	2219.63	0
t_n1041	1410.296	556.64	2129.49	0
t_n1042	1255.37	429.87	2036.29	0
t_n1043	1088.418	315.34	1926.08	0
t_n1044	901.795	212.04	1801.1	0
t_n1045	693.187	121.15	1642	0
t_n1046	467.937	48.28	1410.75	0
t_n1047	235.879	5.46	977.38	0
t_n1048	1126.232	203.53	2030.44	0
t_n1049	605.079	18.14	1714.4	0
t_n1050	1162.043	50.22	2719.05	0
t_n1051	4116.245	3468.93	4494.55	0
t_n1052	4100.01	3460.31	4485.13	0
t_n1053	4083.931	3451	4476.92	0
t_n1054	4067.663	3441.03	4469.85	0
t_n1055	4051.43	3429.62	4463.33	0
t_n1056	4035.383	3417.66	4456.84	0
t_n1057	4005.509	3384.82	4448.55	0
t_n1058	3954.377	3309.43	4435.32	0
t_n1059	3902.162	3196.88	4424.35	0
