Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4136.398	3480.78	4506.85	B(3.347,4.520,1e-300,1e-300)
t_n702	4118.695	3471.73	4494.63	0
t_n703	4060.859	3421.78	4473.86	0
t_n704	3998.834	3342.57	4455.98	0
t_n705	3934.024	3207.5	4439.03	0
t_n706	3846.112	2964.75	4421.28	0
t_n707	3709.919	2585.83	4398.47	0
t_n708	3554.47	2325.57	4371.7	0
t_n709	3380.838	2136.06	4333.52	0
t_n710	2104.193	583	3916.52	0
t_n711	1315.747	152.52	2925.33	0
t_n712	671.657	14.09	1952.38	0
t_n713	3192.355	1989.14	4278.87	0
t_n714	2884.4	1730.99	4156.53	0
t_n715	2019.296	738.45	3570.53	0
t_n716	1291.08	161.77	2681.37	0
t_n717	668.49	15.08	1904.11	0
t_n718	981.307	27.97	2380.92	0
t_n719	2560.734	1464.32	3947.64	0
t_n720	2272.825	1232.6	3611.46	0
t_n721	1774.93	703.98	3091.58	0
t_n722	1403.744	343.58	2505.23	0
t_n723	1080.546	165.05	2091.18	0
t_n724	747.973	59.62	1802.76	0
t_n725	383.618	6.9	1419.1	0
t_n726	1937.112	983.39	3221.85	0
t_n727	1569.124	528.59	2718.01	0
t_n728	1198.831	216.9	2195.58	0
t_n729	631.335	15.72	1766.09	0
t_n730	632.221	15.72	1764.51	0
t_n731	819.852	22.87	1989.43	0
t_n732	1422.144	323.32	2572.49	0
t_n733	745.647	20.09	1917.46	0
t_n734	745.681	19.84	1919.63	0
t_n735	1156.332	34.32	2805.69	0
t_n736	2828.169	1667.27	4135.52	0
t_n737	2515.878	1417.09	3909.67	0
t_n738	2222.296	1191.46	3563.44	0
t_n739	1875.624	912.68	3168.65	0
t_n740	1571.542	565.59	2699.97	0
t_n741	1319.851	333.45	2260.92	0
t_n742	1025.125	158.98	1989.35	0
t_n743	709.285	58.22	1736.24	0
t_n744	362.152	6.48	1365.57	0
t_n745	698.163	18.19	1815.67	0
t_n746	946.665	27.91	2193.88	0
t_n747	1746.561	681.23	3056.71	0
t_n748	1387.334	340.58	2466.68	0
t_n749	1067.102	163.73	2075.53	0
t_n750	737.693	61.36	1785.75	0
t_n751	378.076	6.59	1407.18	0
t_n752	1518.635	229.92	3046.89	0
t_n753	773.574	17.83	2057.57	0
t_n754	2188.866	600.35	4023.51	0
t_n755	1015.326	27.85	2716.47	0
t_n756	1019.765	27.63	2719.96	0
t_n757	1453.164	46.18	3799.86	0
t_n758	3464.059	2073.01	4367.04	0
t_n759	2655.995	1235.55	4173.94	0
t_n760	1990.838	757.91	3660.54	0
t_n761	1431.689	284.36	2875.88	0
t_n762	972.936	90.5	2126.48	0
t_n763	505.569	9.81	1664.94	0
t_n764	967.865	27.52	2384.98	0
t_n765	1172.299	34.84	3029.51	0
t_n766	2877.655	1516	4235.09	0
t_n767	2400.922	1181.11	3971.33	0
t_n768	1650.208	400.71	3199.39	0
t_n769	1100.695	114.68	2301.71	0
t_n770	571.567	11.25	1764.93	0
t_n771	1904.488	785.15	3390.88	0
t_n772	1244.705	161.32	2503.41	0
t_n773	646.232	14.38	1850.54	0
t_n774	1394.624	288.23	2686.79	0
t_n775	952.625	92.18	2053.79	0
t_n776	494.095	9.77	1629.58	0
t_n777	3566.409	2156.01	4387	0
t_n778	2643.376	1154.1	4202.36	0
t_n779	1984.764	713.86	3722.55	0
t_n780	1517.515	370.5	3011.88	0
t_n781	1145.933	177.73	2279.04	0
t_n782	789.348	63.74	1888.58	0
t_n783	406.72	7.09	1490.39	0
t_n784	3009.025	1608.7	4282.66	0
t_n785	2453.881	1188.87	4045.64	0
t_n786	1875.371	707.57	3423.06	0
t_n787	1373.859	278.73	2667.9	0
t_n788	939.514	85.76	2050.6	0
t_n789	486.117	9.39	1618.38	0
t_n790	931.616	26.93	2259.55	0
t_n791	1673.951	411.77	3254.76	0
t_n792	1113.755	116.85	2337.61	0
t_n793	576.979	12.12	1765.77	0
t_n794	1702.77	257.64	3585.9	0
t_n795	835.022	19.19	2245.95	0
t_n796	2132.745	328.93	4208.35	0
t_n797	974.694	22.75	2898.65	0
t_n798	3177.46	1426.71	4375.81	0
t_n799	2189.108	720.96	4081.67	0
t_n800	1526.873	292.28	3254.75	0
t_n801	1019.239	93.89	2269.27	0
t_n802	527.259	10.52	1706.63	0
t_n803	1772.087	257.08	3892.62	0
t_n804	854.793	18.98	2382.8	0
t_n805	4093.873	3456.56	4482.05	0
t_n806	4052.983	3420.5	4467.38	0
t_n807	4003.057	3361.94	4452.42	0
t_n808	3926.47	3203.67	4435.38	0
t_n809	3838.226	2962.97	4418.35	0
t_n810	3664.922	2486.94	4389.59	0
t_n811	3468.715	2207.35	4352.16	0
t_n812	3264.374	2029.98	4302.08	0
t_n813	3064.867	1881.6	4233.72	0
t_n814	2707.816	1584.89	4058.21	0
t_n815	1594.567	246.98	3208.08	0
t_n816	802.639	18.47	2126.97	0
t_n817	2370.335	1293.22	3765.29	0
t_n818	2094.546	1108.19	3401.86	0
t_n819	1717.018	709.99	2964.45	0
t_n820	1423.362	403.31	2454.18	0
t_n821	1163.103	236.56	2119.31	0
t_n822	902.293	125.17	1889.81	0
t_n823	619.549	48.11	1646.68	0
t_n824	315.325	5.56	1254.54	0
t_n825	1717.86	716.43	2964.17	0
t_n826	1423.183	403.43	2444.33	0
t_n827	1164.305	230.69	2117.6	0
t_n828	614.274	15.58	1721.47	0
t_n829	809.995	76.32	1832.77	0
t_n830	417.218	7.98	1466.53	0
t_n831	2736.861	1617.68	4073.63	0
t_n832	2456.596	1384.15	3836.79	0
t_n833	2218.633	1210.75	3532.72	0
t_n834	1924.445	1001.01	3192.13	0
t_n835	1688.295	755.26	2842.33	0
t_n836	1492.646	529.97	2458.44	0
t_n837	1321.015	368.55	2206.42	0
t_n838	700.2	18.59	1800.29	0
t_n839	1128.292	243.05	2021.66	0
t_n840	592.655	15.55	1667.34	0
t_n841	876.891	126.45	1825.11	0
t_n842	600.866	46.85	1591.22	0
t_n843	304.562	5.61	1200.35	0
t_n844	1796.178	788.92	3079.89	0
t_n845	1475.301	441.43	2562.74	0
t_n846	1132.974	197.43	2126.08	0
t_n847	785.141	67.03	1823.62	0
t_n848	404.892	7.75	1453.23	0
t_n849	773.948	21.7	1927.21	0
t_n850	1436.25	44.84	3767.65	0
t_n851	3587.073	2313.69	4378.3	0
t_n852	3246.513	1941.92	4310.45	0
t_n853	2877.564	1650.53	4189.14	0
t_n854	2504.342	1349.03	3962.68	0
t_n855	2177.747	1126.08	3587.8	0
t_n856	1912.465	951.83	3232.87	0
t_n857	1677.96	719.8	2865.31	0
t_n858	1272.972	257.98	2273.32	0
t_n859	881.563	81.84	1919.08	0
t_n860	455.808	8.84	1546.32	0
t_n861	1398.76	394.99	2382.71	0
t_n862	1082.176	180.26	2043.99	0
t_n863	566.57	13.87	1660.86	0
t_n864	566.953	13.84	1662.81	0
t_n865	739.191	20.08	1865.15	0
t_n866	960.397	28.44	2219.41	0
t_n867	1139.647	35.7	2794.36	0
t_n868	1873.229	511.44	3516.94	0
t_n869	919.415	24.94	2304.15	0
t_n870	917.995	24.41	2303.88	0
t_n871	2042.852	559.68	3846.42	0
t_n872	1285.453	147.47	2852.77	0
t_n873	661.501	14.16	1926.97	0
t_n874	2642.757	1172.11	4180.4	0
t_n875	1888.002	592.88	3590.02	0
t_n876	926.95	25.85	2320.78	0
t_n877	1224.751	143.08	2610.96	0
t_n878	634.298	13.08	1863.14	0
t_n879	1168.192	35.7	3035.15	0
t_n880	2802.999	1121.19	4294.6	0
t_n881	1973.514	586.87	3875.01	0
t_n882	1406.58	252.92	2982.49	0
t_n883	723.012	17.39	1980.77	0
t_n884	722.779	17.9	1980.94	0
t_n885	3840.941	2861.64	4423.56	0
t_n886	3458.846	2056.38	4366.83	0
t_n887	2835.54	1453.29	4222.3	0
t_n888	2329.386	1114.19	3934.78	0
t_n889	1906.335	810.31	3394.88	0
t_n890	1540.978	461.55	2857.63	0
t_n891	800.292	22.73	1999.08	0
t_n892	1170.123	199.19	2220.41	0
t_n893	808.897	68.64	1877.67	0
t_n894	417.126	7.62	1488.48	0
t_n895	947.432	27.72	2254.09	0
t_n896	1082.981	31.03	2669.47	0
t_n897	2725.605	1315.86	4198.66	0
t_n898	2163.883	965.23	3820.07	0
t_n899	1529.41	341.6	3021.24	0
t_n900	783.758	19.83	2035.86	0
t_n901	784.746	20.37	2032.06	0
t_n902	1528.894	338.7	3022.56	0
t_n903	1036.023	104.51	2198.35	0
t_n904	539.54	10.98	1708.73	0
t_n905	3460.385	2068.07	4368.38	0
t_n906	3030.972	1692.89	4272.89	0
t_n907	2576.542	1333.77	4072.26	0
t_n908	1861.78	639.08	3422.25	0
t_n909	1360.895	256.04	2678.91	0
t_n910	931.401	84.3	2054.44	0
t_n911	483.856	9.08	1626.67	0
t_n912	2069.388	969.68	3592.57	0
t_n913	1695.547	626.34	3059.19	0
t_n914	1351.028	318.07	2443.84	0
t_n915	1040.483	157.6	2053.86	0
t_n916	542.7	12.64	1651.51	0
t_n917	541.918	12.58	1650.95	0
t_n918	868.512	24.75	2094.47	0
t_n919	1945.047	520.91	3726.81	0
t_n920	941.191	25.06	2388.13	0
t_n921	945.274	25.63	2393.97	0
t_n922	1877.871	287.89	3910.58	0
t_n923	897.29	21	2480.02	0
t_n924	3807.663	2613.21	4428.1	0
t_n925	3364.235	1909.58	4362.07	0
t_n926	2806.391	1447.26	4223.04	0
t_n927	2155.307	944.56	3818.6	0
t_n928	1694.737	548.33	3182.59	0
t_n929	1342.974	291.93	2527.65	0
t_n930	1032.526	149.65	2079.15	0
t_n931	538.586	12.54	1657.29	0
t_n932	537.766	12.2	1656.49	0
t_n933	1983	691.68	3680.89	0
t_n934	1272.603	155.12	2714.07	0
t_n935	655.257	14.11	1888.6	0
t_n936	967.633	27.62	2381.87	0
t_n937	2277.287	817.51	4056.21	0
t_n938	1398.615	179.27	3098.31	0
t_n939	714.07	16.31	2011.67	0
t_n940	1054.521	30.15	2772.34	0
t_n941	3082.417	1537.15	4323.75	0
t_n942	2407.27	1071.97	4078.95	0
t_n943	1847.137	644.34	3478.72	0
t_n944	917.027	25.77	2251.56	0
t_n945	1352.572	255.27	2705.69	0
t_n946	925.323	82.31	2047.98	0
t_n947	479.291	9.23	1616.9	0
t_n948	1102.308	32.52	2818.25	0
t_n949	1289.797	38.75	3390.62	0
t_n950	4032.017	3396.21	4462.18	0
t_n951	3675.975	2410.43	4406.18	0
t_n952_TG-ARCH-EXCLDPANN	2529.991	1673.56	3397.44	B(1.6191,3.448,1e-300,1e-300)
t_n953	1128.28	34.86	2659.38	0
t_n954	1675.706	451.33	2982.19	0
t_n955	1120.885	122.02	2268.14	0
t_n956	585.76	12.23	1760.62	0
t_n957	3131.71	1721.29	4311.31	0
t_n958	2579.192	1282.4	4109.03	0
t_n959	1857.752	618.14	3435.23	0
t_n960	925.26	27.16	2262.76	0
t_n961	1213.035	146.44	2517.23	0
t_n962	629.175	13.26	1832.71	0
t_n963	1949.049	760.48	3531.02	0
t_n964	1501.62	378.25	2847.08	0
t_n965	779.317	20.31	1988.61	0
t_n966	1022.436	106.58	2138.45	0
t_n967	533.704	10.83	1685.33	0
t_n968	1748.151	267.78	3683.32	0
t_n969	854.025	20.59	2301.85	0
t_n970	3954.224	3270.25	4442.95	0
t_n971	3826.995	2892.72	4419.03	0
t_n972	3665.459	2476.8	4391.04	0
t_n973	3446.461	2177.32	4350.34	0
t_n974	3194.577	1954.74	4289.74	0
t_n975	2861.999	1683.66	4164.14	0
t_n976	2443.166	1309.09	3885.75	0
t_n977	2086.3	1065.18	3447.6	0
t_n978	1711.503	688.39	3001.75	0
t_n979	1287.241	257.03	2336.29	0
t_n980	891.719	81.76	1946.66	0
t_n981	463.764	9.11	1563.45	0
t_n982	1156.344	143.11	2242.55	0
t_n983	606.648	12.81	1768.97	0
t_n984	1500.741	354.34	2796.38	0
t_n985	1024.853	102.57	2129.74	0
t_n986	533.541	11.02	1682	0
t_n987	1123.054	35.17	2726.34	0
t_n988	2252.494	1097.93	3752.41	0
t_n989	1815.948	726.69	3210.76	0
t_n990	918.542	27.85	2185.57	0
t_n991	1427.114	353.28	2608.97	0
t_n992	981.358	100.3	2050.02	0
t_n993	510.864	10.04	1638.81	0
t_n994	744.297	20.33	1917.38	0
t_n995	2579.255	1322.69	4044.92	0
t_n996	1539	230.02	3164.84	0
t_n997	779.637	18.3	2096.43	0
t_n998	2014.937	876.25	3506.97	0
t_n999	1299.325	172.37	2632.76	0
t_n1000	674.853	15.41	1898.72	0
t_n1001	1454.185	318.45	2789.95	0
t_n1002	755.235	19.19	1966.7	0
t_n1003	753.961	18.91	1963.46	0
t_n1004	2316.007	850.82	4036.11	0
t_n1005	1072.004	30.22	2768.3	0
t_n1006	1412.778	183.86	3085.23	0
t_n1007	719.594	16.31	2023.29	0
t_n1008	2872.937	1400.22	4250.43	0
t_n1009	2115.969	838.71	3825.95	0
t_n1010	1595.919	419.72	3102.86	0
t_n1011	1196.584	191.74	2349.19	0
t_n1012	623.935	15.05	1801.81	0
t_n1013	622.28	14.53	1798.71	0
t_n1014	1646.382	241.08	3479.57	0
t_n1015	815.306	19	2207.55	0
t_n1016	2712.385	1097.04	4250.24	0
t_n1017	1922.877	571.4	3760.37	0
t_n1018	1384.736	248.57	2904.69	0
t_n1019	939.234	81.95	2114.22	0
t_n1020	487.446	9.68	1637.78	0
t_n1021	3682.936	2469.54	4400.87	0
t_n1022	3017.499	1563.65	4285.64	0
t_n1023	2409.643	1127.27	4026.07	0
t_n1024	1766.596	550.58	3336.15	0
t_n1025	1302.114	234.87	2545.27	0
t_n1026	678.266	16.61	1866.55	0
t_n1027	678.559	16.48	1869.83	0
t_n1028	1650.507	389.41	3249.16	0
t_n1029	835.346	22.44	2121.09	0
t_n1030	833.643	22.13	2120.26	0
t_n1031	1267.989	38.38	3286.24	0
t_n1032	3189.838	1929.55	4302.02	0
t_n1033	2159.457	757.99	3889.97	0
t_n1034	1512.176	297.23	3065.76	0
t_n1035	1019.894	92.85	2198.02	0
t_n1036	531.023	10.19	1709.63	0
t_n1037	2569.772	1447.25	3996.63	0
t_n1038_GOE	1825.323	381.55	2379.29	U(2.315)
t_n1039	1652.388	344.32	2290.89	0
t_n1040	1522.568	305.74	2217.79	0
t_n1041	1373.066	261.92	2125.92	0
t_n1042	1219.743	218.94	2026.71	0
t_n1043	1054.41	170.6	1911.89	0
t_n1044	871.693	120.88	1785.54	0
t_n1045	670.063	70.68	1624.36	0
t_n1046	452.688	29.32	1386.08	0
t_n1047	227.176	3.7	955.74	0
t_n1048	1094.347	117.51	2019.54	0
t_n1049	585.34	11.69	1703.04	0
t_n1050	1138.651	33.13	2701.14	0
t_n1051	4119.979	3471.95	4495.07	0
t_n1052	4103.671	3463.15	4485.35	0
t_n1053	4087.628	3453.28	4477.12	0
t_n1054	4071.255	3443.16	4470.17	0
t_n1055	4055.043	3431.65	4463.77	0
t_n1056	4038.866	3419.47	4457.6	0
t_n1057	4008.57	3387.14	4449.27	0
t_n1058	3957.376	3313.23	4437.45	0
t_n1059	3904.663	3201.63	4425.8	0
t_n1060	3848.195	3065.05	4414.58	0
t_n1061	3789.162	2928.57	4403.35	0
t_n1062	3722.706	2771.69	4391.26	0
t_n1063	3646.669	2617.63	4376.84	0
t_n1064	3539.382	2436.78	4355.88	0
t_n1065	3225.912	2067.37	4268.18	0
t_n1066	2968.863	1912.9	4148.31	0
t_n1067	2707.857	1773.69	3958.58	0
t_n1068	2486.304	1673.63	3721.04	0
t_n1069_TG-CHROMATIACEAE	2235.406	1572.63	3406.96	B(1.631,4.520,0.025,1e-300)
t_n1070	1898.513	1088.78	2985.56	0
t_n1071	1617.546	718.62	2572.08	0
t_n1072	1397.697	433.84	2263.79	0
t_n1073	1155.019	239.42	2050.46	0
t_n1074	900.498	127.9	1856.66	0
t_n1075	619.765	48.53	1625.21	0
t_n1076	314.289	5.59	1230.6	0
t_n1077	747.426	20.88	1851.79	0
t_n1078	1488.888	462.82	2448.23	0
t_n1079	1150.429	199.71	2103.97	0
t_n1080	802.191	69.25	1831.73	0
t_n1081	414.367	7.49	1462.26	0
t_n1082	1367.409	199.55	2515.1	0
t_n1083	715.27	16.62	1912.15	0
t_n1084	1114.52	36.25	2580.11	0
t_n1085	2321.092	1149.52	3735.84	0
t_n1086	1716.855	545.65	3131.29	0
t_n1087	1277.485	229.29	2412.83	0
t_n1088	881.087	77.08	1966.95	0
t_n1089	456.427	8.74	1565.46	0
t_n1090	1430.993	205.34	2903.47	0
t_n1091	733.822	16.51	1992.35	0
t_n1092_TG-MIT-EUKARYA	3287.445	2109.75	4303.57	B(1.08557,4.520,0.025,1e-300)
t_n1093	2992.982	1906.44	4117.81	0
t_n1094	2790.851	1758.01	3968.47	0
t_n1095	2161.471	1031.22	3513.32	0
t_n1096	1634.248	480.78	2976.16	0
t_n1097	841.901	23.9	2073.59	0
t_n1098	1104.114	123.17	2227.16	0
t_n1099	576.336	11.98	1745.17	0
t_n1100	1039.752	30.67	2467.5	0
t_n1101	2579.607	1589.54	3794.14	0
t_n1102	2282.391	1282.3	3501.24	0
t_n1103	2013.033	1082.13	3237.63	0
t_n1104	1667	685.21	2823.36	0
t_n1105	1390.132	382.66	2347.97	0
t_n1106	1139.828	224.28	2080.54	0
t_n1107	883.019	117.7	1860.58	0
t_n1108	605.226	45.42	1617.28	0
t_n1109	306.25	5.39	1215.5	0
t_n1110	1620.576	592.81	2774.71	0
t_n1111	1307.476	301.69	2281.1	0
t_n1112	1012.907	149.67	1994.28	0
t_n1113	529.478	12.17	1617.97	0
t_n1114	529.31	12.17	1616.74	0
t_n1115	1081.201	33.83	2512.7	0
t_n1116	2194.299	1178.74	3443.26	0
t_n1117	1559.669	384.24	2855.61	0
t_n1118	805.557	21.39	2025.4	0
t_n1119	804.041	21.85	2026.97	0
t_n1120	1781.688	771.31	3045.14	0
t_n1121	1330.895	277.53	2391.67	0
