Mean_time	Mean_qlow	Mean_qup	Priors
t_n850	1424.577	55.22	3579.67	0
t_n851	3446.183	2281.15	4228.28	0
t_n852	3137.484	1923.58	4136.61	0
t_n853	2795.963	1630.21	3989.8	0
t_n854	2446.533	1320.06	3772.58	0
t_n855	2137.744	1113.14	3454.65	0
t_n856	1888.434	957.59	3153.17	0
t_n857	1665.353	748.14	2788.85	0
t_n858	1272.198	310.85	2247.49	0
t_n859	888.296	113.56	1920.24	0
t_n860	461.725	12.07	1543.68	0
t_n861	1395.878	457.55	2332.1	0
t_n862	1086.04	225.61	2032.62	0
t_n863	568.724	19.24	1662.05	0
t_n864	569.489	18.01	1661.94	0
t_n865	740.954	27.64	1861.99	0
t_n866	966.658	39.2	2200.81	0
t_n867	1134.332	49.35	2712.87	0
t_n868	1848.363	528.88	3410.61	0
t_n869	917.543	34.62	2277.81	0
t_n870	921.094	34.94	2287.64	0
t_n871	2005.039	589.39	3658.43	0
t_n872	1282.891	180.58	2794.26	0
t_n873	660.597	18.29	1905.02	0
t_n874	2583.393	1169.89	3987.27	0
t_n875	1868.826	616.7	3461.73	0
t_n876	930.136	35.85	2293.52	0
t_n877	1226.164	182.48	2558.87	0
t_n878	637.098	18.11	1853.94	0
t_n879	1160.533	44.32	2945.04	0
t_n880	2711.4	1114.31	4112.1	0
t_n881	1938.758	601.7	3677.32	0
t_n882	1398.968	286.47	2913.74	0
t_n883	719.4	22.87	1962.95	0
t_n884	720.021	23.75	1967.24	0
t_n885	3679.164	2809.04	4301.03	0
t_n886	3332.661	2042.15	4208.93	0
t_n887	2761.325	1435.04	4033.89	0
t_n888	2288.376	1113.01	3737.61	0
t_n889	1885.835	830.83	3303.64	0
t_n890	1538.901	515.93	2775.2	0
t_n891	810.618	30.82	1992.11	0
t_n892	1176.288	246.41	2197.92	0
t_n893	815.613	95.97	1869.63	0
t_n894	421.92	10.22	1488.54	0
t_n895	951.551	38.28	2238.95	0
t_n896	1086.717	44.99	2635.72	0
t_n897	2652.435	1303.78	3993.37	0
t_n898	2128.625	964.71	3636.77	0
t_n899	1521.479	383.6	2946.88	0
t_n900	788.54	27.64	2032.36	0
t_n901	788.734	27.71	2015	0
t_n902	1520.733	387.43	2937.87	0
t_n903	1036.43	137.63	2178.41	0
t_n904	543.422	14.27	1709.34	0
t_n905	3333.659	2040.39	4210.72	0
t_n906	2939.419	1668.98	4093.56	0
t_n907	2514.265	1314.62	3882.29	0
t_n908	1834.784	652.65	3309.79	0
t_n909	1354.747	296.89	2603.67	0
t_n910	933.143	115.01	2032	0
t_n911	486.165	12.07	1626.06	0
t_n912	2038.431	974.2	3444.93	0
t_n913	1681.884	654.19	2986.29	0
t_n914	1349.143	375.03	2402.72	0
