Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4471.915	4346.65	4518.73	B(3.347,4.520,1e-300,1e-300)
t_n702	3768.84	3556.49	3977.57	0
t_n703	3653.789	3442.42	3867.48	0
t_n704	3563.161	3350.65	3777.51	0
t_n705	3451.015	3235.93	3666.06	0
t_n706	3275.232	3057.07	3493.95	0
t_n707	3141.914	2922.66	3369.2	0
t_n708	2996.399	2779.67	3220.92	0
t_n709	2877.97	2660.99	3098.24	0
t_n710	1927.053	1484.7	2341.25	0
t_n711	993.532	662.17	1390.49	0
t_n712	127.917	71.93	207.76	0
t_n713	2710.164	2494.89	2930.57	0
t_n714	2420.865	2188.34	2654.37	0
t_n715	2064.416	1734.67	2360.21	0
t_n716	1773.268	1407.75	2105.36	0
t_n717	1380.357	980.11	1772.48	0
t_n718	1696.067	1285.02	2059.75	0
t_n719	2171.42	1943.06	2405.62	0
t_n720	2034.867	1806.37	2267.42	0
t_n721	1838.187	1591.01	2086.38	0
t_n722	1696.11	1440.75	1953.62	0
t_n723	1529.033	1270.29	1795.68	0
t_n724	1434.612	1174.49	1706.96	0
t_n725	1156.569	870.18	1447.49	0
t_n726	1836.742	1607.69	2077.5	0
t_n727	1628.964	1387.64	1882.91	0
t_n728	1399.685	1160.95	1655.71	0
t_n729	1019.182	736.48	1309	0
t_n730	767.173	532.08	1039.79	0
t_n731	269.654	152.54	444.95	0
t_n732	1664.499	1412.6	1923.79	0
t_n733	1410.032	1116.4	1701.14	0
t_n734	1428.061	1119.6	1721.41	0
t_n735	1840.895	1474.79	2144.38	0
t_n736	2360.565	2127.67	2597.05	0
t_n737	2148.195	1919.7	2381.48	0
t_n738	1838.067	1619.22	2062.34	0
t_n739	1670.325	1448.94	1896.45	0
t_n740	1308.516	1096.99	1534.87	0
t_n741	1085.615	887.69	1301.32	0
t_n742	918.088	725.62	1131.3	0
t_n743	769.044	584.98	978.52	0
t_n744	430.997	266.03	635.48	0
t_n745	955	739.04	1180.45	0
t_n746	1258.041	923.03	1565.74	0
t_n747	1665.266	1437.8	1898.8	0
t_n748	1502.31	1273.52	1742.03	0
t_n749	1152.853	925.34	1392.55	0
t_n750	921.738	702.1	1156.72	0
t_n751	567.248	370.44	781.68	0
t_n752	1810.782	1469.98	2107.33	0
