Mean_time	Mean_qlow	Mean_qup	Priors
t_n851	2264.997	2004.96	2533.74	0
t_n852	2086.526	1836.75	2351.19	0
t_n853	1965.734	1719.16	2226.49	0
t_n854	1775.503	1531.02	2032.25	0
t_n855	1651.963	1414.61	1907.18	0
t_n856	1413.792	1193.58	1663.14	0
t_n857	1046.915	875.6	1242.53	0
t_n858	757.442	559.42	975.15	0
t_n859	217.745	143.96	316.36	0
t_n860	118.788	69.73	186.99	0
t_n861	864.876	710.18	1035.42	0
t_n862	784.846	632.27	950.52	0
t_n863	623.106	454.46	801.1	0
t_n864	621.405	457.51	795.75	0
t_n865	629.352	433.95	823.54	0
t_n866	528.627	294.02	813.66	0
t_n867	867.384	545.96	1271.27	0
t_n868	1694.677	1394.7	1989.38	0
t_n869	531.477	290.19	832.91	0
t_n870	820.512	538.91	1174.34	0
t_n871	1696.742	1308.89	2046.31	0
t_n872	379.714	240.48	593.04	0
t_n873	130.797	74.2	212.91	0
t_n874	1163.097	937.77	1427.33	0
t_n875	1041.136	827.5	1295.58	0
t_n876	839.702	611.93	1100.66	0
t_n877	873.883	661.42	1122.63	0
t_n878	696.15	486.98	941.72	0
t_n879	999.677	743.89	1274.75	0
t_n880	995.671	769.59	1263.46	0
t_n881	840.2	643.89	1071.4	0
t_n882	728.378	543.74	943.87	0
t_n883	522.353	340.76	725.88	0
t_n884	560.718	370.64	771.86	0
t_n885	2731.423	2458.54	2997.62	0
t_n886	2514.752	2241.37	2790.21	0
t_n887	2348.81	2072.26	2630.97	0
t_n888	2025.4	1746.37	2314.79	0
t_n889	1425.31	1196.74	1674.97	0
t_n890	1236.171	1022.23	1468.64	0
t_n891	723.044	486.66	992.82	0
t_n892	1105.323	894.38	1331.19	0
t_n893	900.539	691.5	1123.82	0
t_n894	613.205	416.69	826.97	0
t_n895	489.392	272.04	765.71	0
t_n896	1625.974	1206.71	2001.31	0
t_n897	2303.259	1994.18	2605.64	0
t_n898	1558.846	1254.61	1902.22	0
t_n899	818.984	607.42	1066.76	0
t_n900	415.27	245.96	636.31	0
t_n901	656.031	445.13	900.27	0
t_n902	1240.293	948.62	1575.67	0
t_n903	773.347	547.15	1045.88	0
t_n904	546.716	335.88	798.43	0
t_n905	2587.28	2312.17	2861.76	0
t_n906	2232.653	1944.05	2529.99	0
t_n907	1514.615	1283.02	1774.25	0
t_n908	1254.039	1018.16	1510.98	0
t_n909	818.187	618.08	1048.44	0
t_n910	565.272	394.27	761.86	0
t_n911	374.033	229.71	562.99	0
t_n912	1225.078	1013.13	1463.45	0
t_n913	870.133	705.45	1059.63	0
t_n914	736.322	587.05	908.2	0
t_n915	686.447	537.22	855.67	0
t_n916	442.08	291.02	617.4	0
t_n917	566.914	403.71	740.86	0
t_n918	327.759	180.45	547.61	0
t_n919	942.246	634.82	1326.25	0
t_n920	377.917	209.96	632.51	0
t_n921	90.826	50.16	152.57	0
t_n922	2008.084	1470.42	2445.32	0
t_n923	1643.9	1110.66	2129.82	0
t_n924	3047.189	2667.28	3388.59	0
t_n925	2862.644	2480.41	3213.33	0
t_n926	2640.532	2256.31	2999.76	0
t_n927	2323.627	1931.29	2714.6	0
t_n928	1538.143	1205.86	1927.75	0
t_n929	1109.292	859.76	1407.55	0
t_n930	921.968	694.94	1201.98	0
t_n931	706.392	487.32	976.19	0
