Mean_time	Mean_qlow	Mean_qup	Priors
t_n851	2530.605	2374.04	2689.87	0
t_n852	2386.53	2220.69	2553.3	0
t_n853	2278.65	2106.55	2454.5	0
t_n854	2093.745	1907.93	2278.29	0
t_n855	1970.759	1776.47	2165.18	0
t_n856	1698.492	1488.67	1901.16	0
t_n857	1191.332	986.47	1395.12	0
t_n858	901.442	722.73	1089.82	0
t_n859	304.471	202.04	431.63	0
t_n860	170.131	108.63	250.43	0
t_n861	981.603	798.58	1170.08	0
t_n862	897.392	727.01	1076.78	0
t_n863	732.011	583.07	897.51	0
t_n864	725.037	576.29	886.93	0
t_n865	743.572	586.4	913.3	0
t_n866	720.201	482.78	972.28	0
t_n867	1120.524	800.23	1420.97	0
t_n868	2019.999	1822.03	2223.98	0
t_n869	723.262	446.02	1029.7	0
t_n870	916.194	622.18	1229.8	0
t_n871	2057.495	1839.66	2264.94	0
t_n872	537.037	298.42	819.24	0
t_n873	198.182	102.81	332.21	0
t_n874	1292.848	989.52	1572.21	0
t_n875	1161.41	880.44	1429.09	0
t_n876	953.191	713.27	1192.15	0
t_n877	999.531	751.49	1250.77	0
t_n878	812.57	601.48	1038.41	0
t_n879	1138.217	856.73	1404.81	0
t_n880	1437.775	1072.29	1812.2	0
t_n881	1205.904	878.99	1556.68	0
t_n882	1044.052	752.19	1360.63	0
t_n883	743.234	523.21	1004.61	0
t_n884	816.538	577.61	1091.9	0
t_n885	2671.772	2490.35	2844.75	0
t_n886	2486.08	2296.18	2668.33	0
t_n887	2336.096	2136.49	2530.76	0
t_n888	1980.279	1742.93	2208.08	0
t_n889	1056.266	788.75	1335.56	0
t_n890	903.538	666.59	1158.11	0
t_n891	531.98	369.32	724.78	0
t_n892	819.071	599.33	1058.92	0
t_n893	677.435	488.57	885.68	0
t_n894	467.134	324.49	632.85	0
t_n895	396.624	248.8	591.7	0
t_n896	1703.789	1442.25	1956.47	0
t_n897	2337.202	2135.47	2532.34	0
t_n898	1666.949	1385.37	1933.46	0
t_n899	824.139	592.74	1082.9	0
t_n900	420.931	280.8	601.1	0
t_n901	678.479	477.88	903.74	0
t_n902	1385.636	1120.67	1660.98	0
t_n903	894.678	667.54	1148.61	0
t_n904	641.118	455.8	857.5	0
t_n905	2559.698	2372.15	2739.44	0
t_n906	2180.54	1945.39	2396.68	0
t_n907	1185.314	890.09	1459.43	0
t_n908	998.583	730.08	1257.03	0
t_n909	599.676	407.07	810.02	0
t_n910	397.075	263.35	559.32	0
t_n911	268.54	172.84	388.96	0
t_n912	951.269	694.7	1207.67	0
t_n913	617.003	426.14	826.48	0
t_n914	510.243	347.64	690.75	0
t_n915	478.316	325.75	651.23	0
t_n916	293.239	195.46	411.78	0
t_n917	407.506	275.51	559.23	0
t_n918	290.465	184.5	418.12	0
t_n919	1007.479	673.18	1356.39	0
t_n920	427.453	244.89	672.39	0
t_n921	101.373	52.11	180.01	0
t_n922	2203.801	1944.56	2427.56	0
