Mean_time	Mean_qlow	Mean_qup	Priors
t_n852	2386.134	2221.31	2554.42	0
t_n853	2278.105	2106.46	2455.48	0
t_n854	2093.171	1908.21	2279.56	0
t_n855	1969.877	1775.54	2165.34	0
t_n856	1697.759	1487.81	1901.82	0
t_n857	1191.675	984.82	1397.81	0
t_n858	901.904	721.55	1092.08	0
t_n859	304.54	202.25	431.63	0
t_n860	170.276	109.28	251.31	0
t_n861	982.201	795.73	1172.57	0
t_n862	898	725.06	1078.88	0
t_n863	732.98	579.59	899.58	0
t_n864	725.737	574.89	889.89	0
t_n865	744.602	584.76	916.09	0
t_n866	720.154	480.54	972.1	0
t_n867	1119.929	795.95	1422.09	0
t_n868	2019.942	1824.11	2223.93	0
t_n869	723.376	444.8	1030.11	0
t_n870	916.684	622.34	1232.37	0
t_n871	2056.903	1841.26	2264.99	0
t_n872	536.106	296.42	821.05	0
t_n873	197.841	102.27	332.19	0
t_n874	1292.953	993.67	1570.75	0
t_n875	1161.646	883.22	1430.04	0
t_n876	953.639	714.47	1192.49	0
t_n877	999.947	752.77	1252.8	0
t_n878	813.022	603.41	1039.75	0
t_n879	1138.339	860.49	1405.55	0
t_n880	1438.758	1072.06	1810.04	0
t_n881	1206.598	878.62	1556.78	0
t_n882	1044.679	751.58	1365.87	0
t_n883	743.777	524.47	1004.43	0
t_n884	816.859	577.29	1093.5	0
t_n885	2670.712	2491.55	2841.17	0
t_n886	2484.674	2296.21	2668.03	0
t_n887	2334.388	2138.18	2525.9	0
t_n888	1977.677	1743.37	2205.28	0
t_n889	1052.378	788.77	1328.63	0
t_n890	899.725	666.68	1153.99	0
t_n891	529.61	369.75	719.69	0
t_n892	815.475	599.44	1050.92	0
t_n893	674.329	487.78	881.82	0
t_n894	464.743	324.5	627.5	0
t_n895	394.042	248.68	584.46	0
t_n896	1700.124	1440.41	1954.76	0
t_n897	2335.799	2135.93	2531.27	0
t_n898	1665.047	1384.89	1925.59	0
t_n899	822.08	587.57	1079.23	0
t_n900	420.084	278.98	600.53	0
t_n901	676.616	475.9	901.49	0
t_n902	1383.937	1121.36	1658.17	0
t_n903	893.439	664.58	1149.54	0
t_n904	640.915	454.55	859.71	0
t_n905	2558.43	2372.09	2733.2	0
t_n906	2179.165	1945.11	2391.74	0
t_n907	1186.038	891.08	1457.77	0
t_n908	999.564	730.93	1251.44	0
t_n909	601.002	406.94	812.69	0
t_n910	397.975	263.2	561.18	0
t_n911	269.235	172.54	390.52	0
t_n912	952.017	695.77	1205.25	0
t_n913	617.865	424.97	826.46	0
t_n914	510.96	347.27	692.17	0
t_n915	478.986	325.42	652.72	0
