Mean_time	Mean_qlow	Mean_qup	Priors
t_n701_LUCA	4218.013	3636.99	4510.29	B(3.347,4.520,1e-300,1e-300)
t_n702	4082.908	3524.92	4470.05	0
t_n703	3911.854	3362.83	4411.62	0
t_n704	3830.25	3287.58	4363.78	0
t_n705	3764.366	3143.24	4330.17	0
t_n706	3681.485	2907.92	4297.64	0
t_n707	3554.44	2532.48	4257.7	0
t_n708	3414.12	2280.42	4212.19	0
t_n709	3256.213	2101.59	4160.43	0
t_n710	2065.027	610.75	3713.38	0
t_n711	1310.575	179.91	2856.08	0
t_n712	676.561	17.99	1941.66	0
t_n713	3084.581	1961.46	4094.95	0
t_n714	2800.649	1713.88	3959.08	0
t_n715	1991.595	764.1	3432.91	0
t_n716	1290.985	200.1	2624.26	0
t_n717	671.75	19.15	1893.06	0
t_n718	979.458	39.09	2350.1	0
t_n719	2501.892	1460.55	3750.19	0
t_n720	2233.658	1232.03	3476.62	0
t_n721	1761.952	748.5	3016.41	0
t_n722	1406.578	416.7	2473.74	0
t_n723	1086.937	216.79	2083.53	0
t_n724	754.498	86.6	1795.79	0
t_n725	387.814	9.06	1430.19	0
t_n726	1919.383	990.77	3148.87	0
t_n727	1566.422	599.31	2663	0
t_n728	1203.315	276.21	2174.27	0
t_n729	635.848	21.93	1759.7	0
t_n730	637.365	21.61	1760.63	0
t_n731	825.205	31.99	1980.81	0
t_n732	1420.892	381.74	2521.31	0
t_n733	747.932	26.31	1909.29	0
t_n734	748.545	26.84	1907.17	0
t_n735	1154.528	48.85	2744.1	0
t_n736	2749.561	1655.98	3936.3	0
t_n737	2459.518	1401.85	3716.3	0
t_n738	2185.159	1192.15	3429.83	0
t_n739	1856.902	929.72	3090.12	0
t_n740	1566.772	629.15	2641.31	0
t_n741	1324.649	411.08	2249.91	0
t_n742	1029.534	210.39	1979.04	0
t_n743	712.856	81.97	1729.08	0
t_n744	363.867	8.82	1343.85	0
t_n745	703.745	26.49	1810.61	0
t_n746	949.75	38.81	2169.1	0
t_n747	1732.176	727.26	2972.51	0
t_n748	1385.544	398.43	2419.72	0
t_n749	1072.213	210.57	2057.21	0
t_n750	745.149	84.36	1786.66	0
t_n751	383.73	9.05	1416.22	0
t_n752	1510.782	269.72	2980.48	0
t_n753	778.126	24.85	2051.5	0
t_n754	2145.432	631.03	3825.37	0
t_n755	1017.015	37.54	2643.45	0
t_n756	1017.305	39.07	2655.21	0
t_n757	1432.21	60.41	3605.75	0
t_n758	3328.806	2049.71	4209.74	0
t_n759	2586.224	1223.05	3975.07	0
t_n760	1964.646	780.05	3492.5	0
t_n761	1426.556	333.49	2781.45	0
t_n762	976.694	121.37	2097.44	0
t_n763	509.164	12.9	1655	0
t_n764	972.388	37.74	2349.81	0
t_n765	1165.637	46.38	2948.52	0
t_n766	2794.868	1500.18	4043.11	0
t_n767	2348.138	1176	3768.42	0
t_n768	1635.882	459.49	3108.14	0
t_n769	1102.069	151.95	2276.27	0
t_n770	574.839	15.37	1750.34	0
t_n771	1882.238	819.42	3305.62	0
t_n772	1244.533	201.59	2458.35	0
t_n773	651.475	18.99	1848.98	0
t_n774	1390.422	341.28	2608.39	0
t_n775	959.3	123.78	2046.45	0
t_n776	501.033	12.54	1637.98	0
t_n777	3422.222	2123.84	4243.13	0
t_n778	2572.522	1161.58	4006.56	0
t_n779	1953.31	744.35	3525.68	0
t_n780	1510.71	422.79	2912.9	0
t_n781	1149.512	221.94	2255.09	0
t_n782	795.074	87.61	1887.89	0
t_n783	410.436	9.43	1494.55	0
t_n784	2909.197	1587.57	4098.53	0
t_n785	2396.589	1184.39	3837	0
t_n786	1853.968	744.51	3311.16	0
t_n787	1370.35	326.5	2610.86	0
t_n788	944.088	120.07	2035.61	0
t_n789	490.873	12.72	1617.96	0
t_n790	936.201	36.82	2227.56	0
t_n791	1660.409	463.88	3164.64	0
t_n792	1113.012	150.52	2303.11	0
t_n793	578.652	15.41	1768.48	0
t_n794	1681.096	293.43	3436.03	0
t_n795	836.458	25.64	2229.64	0
t_n796	2088.54	361.63	4016.76	0
t_n797	969.944	30.28	2802.28	0
t_n798	3069.101	1426.28	4228.44	0
t_n799	2147.853	759.33	3877.91	0
t_n800	1514.184	340.69	3150.33	0
t_n801	1019.866	125.67	2239.73	0
t_n802	529.432	13.21	1710.06	0
