Mean_time	Mean_qlow	Mean_qup	Priors
t_n852	2076.252	1817.79	2352.69	0
t_n853	1956.096	1703.77	2223.59	0
t_n854	1767.618	1520.58	2027.48	0
t_n855	1643.589	1398.92	1904.51	0
t_n856	1406.364	1183.02	1655.03	0
t_n857	1040.366	866.52	1234.83	0
t_n858	752.05	554.85	972.64	0
t_n859	216.091	141.85	314.75	0
t_n860	118.177	68.93	188.07	0
t_n861	858.902	699.42	1034.68	0
t_n862	779.308	623.29	951.18	0
t_n863	619.092	447.62	799.36	0
t_n864	615.793	448.57	792	0
t_n865	626.68	434.75	822.16	0
t_n866	530.603	291.37	819.57	0
t_n867	863.346	538.02	1256.66	0
t_n868	1683.002	1374.91	1985.52	0
t_n869	527.498	288.03	832.24	0
t_n870	816.722	531.8	1168.04	0
t_n871	1688.928	1305.98	2038.95	0
t_n872	379.249	239.38	595.59	0
t_n873	131.015	73.56	216.74	0
t_n874	1158.384	929.78	1423.59	0
t_n875	1036.514	818.79	1291.48	0
t_n876	835.902	612.88	1093.43	0
t_n877	868.761	657.01	1117.48	0
t_n878	691.727	485.59	935.44	0
t_n879	994.718	733.51	1273.32	0
t_n880	989.821	764.18	1255.36	0
t_n881	834.573	641.59	1070.62	0
t_n882	724.192	544.77	942.68	0
t_n883	519.101	334.63	727.02	0
t_n884	557.328	365.33	764.99	0
t_n885	2717.705	2445.69	3012.15	0
t_n886	2501.243	2222.51	2794.51	0
t_n887	2335.013	2056.86	2627.23	0
t_n888	2013.213	1730.46	2314.82	0
t_n889	1419.972	1189.58	1679.55	0
t_n890	1231.375	1018.91	1471.53	0
t_n891	721.324	490.45	990.91	0
t_n892	1100.53	890.85	1335.23	0
t_n893	895.316	688.98	1122.18	0
t_n894	609.291	415.07	826.01	0
t_n895	488.051	268.08	773.66	0
t_n896	1616.617	1194.26	2000.57	0
t_n897	2291.766	1981.52	2604.37	0
t_n898	1554.462	1244.84	1892.06	0
t_n899	815.415	611.56	1065.94	0
t_n900	412.137	244.81	631.84	0
t_n901	653.682	446.07	901.29	0
t_n902	1237.458	946.12	1569.08	0
t_n903	773.232	547.1	1046.19	0
t_n904	546.675	336.04	793.24	0
t_n905	2574.428	2288.42	2873.28	0
t_n906	2222.231	1923.3	2530.92	0
t_n907	1510.703	1274.86	1779.17	0
t_n908	1252.976	1008.52	1514.14	0
t_n909	817.33	616.95	1044.22	0
t_n910	563.696	392.65	756.2	0
t_n911	373.083	231.07	558.29	0
t_n912	1222.229	1001.64	1468.52	0
t_n913	866.513	701.04	1055.85	0
t_n914	733.141	579.32	906.81	0
t_n915	683.143	535.94	851.36	0
t_n916	439.825	287.19	617.51	0
t_n917	563.756	399.31	736.6	0
t_n918	327.262	178.11	551.11	0
